,Latitude,Longitude,category,VIC_SEX,VIC_AGE,VIC_RACE
12,40.79415338600006,-73.96844369899995,3,F,45-64,BLACK
13,40.79415338600006,-73.96844369899995,3,F,25-44,BLACK
26,40.751853036000064,-73.99853247999994,1,M,18-24,WHITE HISPANIC
27,40.751853036000064,-73.99853247999994,1,M,18-24,WHITE
29,40.770943929000055,-73.98107628599996,1,F,45-64,AMERICAN INDIAN/ALASKAN NATIVE
42,40.79863064400007,-73.93659275299996,3,F,25-44,ASIAN / PACIFIC ISLANDER
63,40.821427723000056,-73.93551602499997,0,F,45-64,BLACK
66,40.86225524200007,-73.92629731299998,0,F,18-24,WHITE HISPANIC
69,40.791989012000045,-73.93771862399994,3,F,18-24,WHITE
71,40.80114661700002,-73.95163044599997,3,M,45-64,BLACK
78,40.70403871900004,-74.01238314899997,2,F,25-44,WHITE
102,40.806760637000025,-73.94201781399995,3,F,25-44,BLACK
127,40.71550424700007,-73.99810761899994,2,M,45-64,ASIAN / PACIFIC ISLANDER
130,40.75880253700007,-73.97392543499996,1,M,25-44,WHITE HISPANIC
145,40.82321579200004,-73.93780501799995,0,F,25-44,WHITE
157,40.746206140000034,-73.98514699399993,1,M,18-24,BLACK
159,40.772218422000044,-73.948297429,3,F,65+,WHITE
167,40.78543004000005,-73.97766691999993,1,M,45-64,WHITE HISPANIC
169,40.82269869000004,-73.94657088999998,3,M,UNKNOWN,UNKNOWN
173,40.75963431200007,-73.99547490799995,1,F,UNKNOWN,UNKNOWN
176,40.82096430100006,-73.94147793899998,3,F,25-44,BLACK
188,40.73523454000008,-73.97972246599994,2,F,45-64,BLACK
194,40.81950961800004,-73.95358253499995,3,M,18-24,WHITE HISPANIC
219,40.760157529000026,-73.98395267899997,1,M,25-44,BLACK
228,40.747729682000056,-73.98683929299993,1,M,25-44,ASIAN / PACIFIC ISLANDER
254,40.79578013900005,-73.96540192499998,3,F,25-44,WHITE HISPANIC
